vehicle_id,window_start,window_end,drive_hours,distance_km,insufficient_exposure_flag,harsh_episode_count,short_speeding_episode_count,long_speeding_episode_count,speeding_episode_count,power_violation_episode_count,camera_obstruction_episode_count,fatigue_episode_count,driver_distraction_episode_count,situational_risk_episode_count,crash_count,ubi_proxy_score,vehicle_behaviour_class
411962094,2026-01-01,2026-02-01,67.86472222222223,500.0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.40703187250996015,Low
415734364,2026-01-01,2026-02-01,58.79527777777778,455.0,0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0,0.4917131474103586,Medium
416296124,2026-01-01,2026-02-01,26.554166666666667,1090.0,0,4.0,0.0,0.0,0.0,24.0,24.0,0.0,2.0,0.0,0,0.5267529880478088,Medium
416296293,2026-01-01,2026-02-01,17.495,375.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.0,0,0.4030478087649403,Low
416380838,2026-01-01,2026-02-01,0.6147222222222222,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3373107569721116,Insufficient Exposure
417513547,2026-01-01,2026-02-01,17.7,142.0,0,5.0,0.0,1.0,1.0,1.0,0.0,9.0,10.0,0.0,0,0.6483665338645418,High
417516308,2026-01-01,2026-02-01,28.408333333333335,942.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964.0,0,0.4078286852589642,Low
417648563,2026-01-01,2026-02-01,1.173888888888889,30.0,1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0,0.4544422310756972,Insufficient Exposure
422008670,2026-01-01,2026-02-01,20.809166666666666,435.0,0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,642.0,0,0.5862151394422311,High
422017575,2026-01-01,2026-02-01,44.63861111111111,595.0,0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,33.0,82.0,1,0.5696812749003984,High
425968651,2026-01-01,2026-02-01,20.53611111111111,260.0,0,41.0,0.0,0.0,0.0,1.0,0.0,12.0,96.0,278.0,0,0.6844820717131475,High
429536893,2026-01-01,2026-02-01,88.49194444444444,1329.0,0,4.0,6.0,0.0,6.0,3.0,0.0,2.0,157.0,0.0,0,0.6525099601593626,High
429570713,2026-01-01,2026-02-01,24.488333333333333,146.0,0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0,0.41434262948207173,Low
429576946,2026-01-01,2026-02-01,54.584722222222226,723.0,0,7.0,7.0,0.0,7.0,1.0,0.0,2.0,21.0,353.0,1,0.6938247011952192,High
434846817,2026-01-01,2026-02-01,76.21222222222222,258.0,0,14.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0,0.603207171314741,High
434850546,2026-01-01,2026-02-01,51.64111111111111,534.0,0,12.0,4.0,9.0,13.0,0.0,2.0,1.0,7.0,0.0,0,0.7054980079681276,High
434885978,2026-01-01,2026-02-01,21.393055555555556,470.0,0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,14.0,278.0,0,0.6169521912350598,High
