vehicle_id,window_start,window_end,drive_seconds,night_drive_seconds,distance_km,night_distance_km,harsh_corner_count,harsh_braking_count,harsh_accel_count,speeding_count,power_off_ext_batt_disc_count,cam_covered_count,eye_closed_count,yawn_count,fatigue_count,distraction_count,phone_use_count,smoke_count,Driver_Seatbelt_not_on,headway_monitor_count,lane_departure_count,forward_collision_count,ped_collision_count,crash_count,harsh_episode_count,short_speeding_episode_count,long_speeding_episode_count,speeding_episode_count,power_violation_episode_count,camera_obstruction_episode_count,fatigue_episode_count,driver_distraction_episode_count,situational_risk_episode_count,harsh_total_count,fatigue_total_count,driver_distraction_total_count,situational_risk_total_count,drive_hours,night_ratio
422008670,2026-01-01,2026-02-01,74913.0,0.0,439.0,0.0,6,0,0,0,1,2,0,0,0,0,0,0,2,1272,246,176,24,0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,642.0,6,0,2,1718,20.809166666666666,0.0
422017575,2026-01-01,2026-02-01,160733.0,0.0,595.0,0.0,0,0,0,0,1,0,65,6,10,22,9,0,9,128,36,13,1,1,0.0,0.0,0.0,0.0,1.0,0.0,44.0,30.0,82.0,0,81,40,178,44.64805555555556,0.0
425968651,2026-01-01,2026-02-01,73928.0,0.0,264.0,0.0,19,3,19,0,1,0,6,6,5,212,0,0,2,822,20,94,3,0,41.0,0.0,0.0,0.0,1.0,0.0,15.0,90.0,278.0,41,17,214,939,20.535555555555554,0.0
429536893,2026-01-01,2026-02-01,318571.0,6122.0,1384.0,0.0,3,1,0,6,3,0,0,0,1,6,96,0,128,0,0,0,0,0,4.0,6.0,0.0,6.0,3.0,0.0,1.0,210.0,0.0,4,1,230,0,88.49194444444444,0.019217066211299837
429570713,2026-01-01,2026-02-01,88158.0,0.0,146.0,0.0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,24.488333333333333,0.0
429576946,2026-01-01,2026-02-01,196505.0,2152.0,726.0,0.0,2,3,2,7,1,0,0,0,0,3,9,0,20,857,102,60,40,1,7.0,7.0,0.0,7.0,1.0,0.0,0.0,30.0,353.0,7,0,32,1059,54.584722222222226,0.010951375283071678
434846817,2026-01-01,2026-02-01,274364.0,87866.0,259.0,0.0,9,2,3,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,14.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,14,0,2,0,76.21222222222222,0.32025338601274217
434850546,2026-01-01,2026-02-01,185908.0,21052.0,679.0,44.0,10,0,2,70,0,0,0,0,0,3,6,0,6,0,0,0,0,0,12.0,4.0,9.0,13.0,0.0,0.0,0.0,11.0,0.0,12,0,15,0,51.64111111111111,0.11323880629128386
434885978,2026-01-01,2026-02-01,77015.0,0.0,469.0,0.0,0,1,0,0,1,2,5,0,4,22,0,0,3,739,119,47,5,0,1.0,0.0,0.0,0.0,1.0,2.0,9.0,12.0,278.0,1,9,25,910,21.393055555555556,0.0
434887440,2026-01-01,2026-02-01,50933.0,213.0,529.0,1.0,131,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,0,0,0,14.148055555555555,0.00418196454165276
435028160,2026-01-01,2026-02-01,225503.0,2534.0,138.0,0.0,0,1,0,0,0,0,0,0,1,0,8,0,26,0,0,0,0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,0.0,1,1,34,0,62.639722222222225,0.011237101058522504
435288506,2026-01-01,2026-02-01,20227.0,0.0,205.0,0.0,0,0,0,0,25,0,0,0,2,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,2.0,0.0,0,2,2,0,5.618611111111111,0.0
436759512,2026-01-01,2026-02-01,225570.0,0.0,417.0,0.0,0,1,1,0,0,0,0,0,1,2,5,0,2,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,2,1,9,0,62.65833333333333,0.0
