vehicle_id,window_start,window_end,drive_hours,distance_km,insufficient_exposure_flag,harsh_episode_count,short_speeding_episode_count,long_speeding_episode_count,speeding_episode_count,power_violation_episode_count,camera_obstruction_episode_count,fatigue_episode_count,driver_distraction_episode_count,situational_risk_episode_count,crash_count,ubi_proxy_score,vehicle_behaviour_class,covered_ratio,total_clips,covered_clips
371661090,2026-01-01,2026-02-01,19.642222222222223,172.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0,0.4197808764940239,Low,0.0,1.0,0.0
373265130,2026-01-01,2026-02-01,20.059444444444445,41.0,0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,0.0,2,0.5087450199203187,Medium,0.0,4.0,0.0
373272248,2026-01-01,2026-02-01,104.15527777777778,974.0,0,6.0,4.0,2.0,6.0,0.0,1.0,0.0,22.0,5.0,0,0.6791832669322709,High,0.0,27.0,0.0
376677144,2026-01-01,2026-02-01,23.364444444444445,781.0,0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.48340637450199203,Medium,0.0,,0.0
377841245,2026-01-01,2026-02-01,52.50805555555556,88.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,35,0.4040239043824701,Low,0.0,7.0,0.0
377841595,2026-01-01,2026-02-01,2.6777777777777776,92.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,121.0,0,0.38406374501992036,Insufficient Exposure,0.0,1.0,0.0
378317132,2026-01-01,2026-02-01,13.198333333333334,345.0,0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.4798207171314741,Medium,0.0,,0.0
382444594,2026-01-01,2026-02-01,4.110833333333333,61.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0,0.3662749003984064,Low,0.0,,0.0
388775883,2026-01-01,2026-02-01,100.22055555555555,397.0,0,80.0,1.0,2.0,3.0,0.0,0.0,0.0,17.0,0.0,0,0.6535657370517929,High,0.0,24.0,0.0
402182287,2026-01-01,2026-02-01,33.7725,201.0,0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,0,0.48944223107569723,Medium,0.0,2.0,0.0
409223544,2026-01-01,2026-02-01,122.37,1909.0,0,54.0,3.0,2.0,5.0,0.0,2.0,35.0,50.0,0.0,0,0.7595219123505975,High,0.0,74.0,0.0
411962094,2026-01-01,2026-02-01,67.86472222222223,567.0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.42816733067729085,Low,0.0,11.0,0.0
415734364,2026-01-01,2026-02-01,58.79527777777778,454.0,0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0,0.4970517928286853,Medium,0.0,16.0,0.0
416296124,2026-01-01,2026-02-01,26.554166666666667,1090.0,0,4.0,0.0,0.0,0.0,24.0,22.0,0.0,2.0,0.0,0,0.4908964143426295,Medium,0.0,29.0,0.0
416296293,2026-01-01,2026-02-01,17.495,371.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.0,0,0.38300796812749005,Low,0.0,1.0,0.0
416380838,2026-01-01,2026-02-01,0.6147222222222222,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.31727091633466137,Insufficient Exposure,0.0,,0.0
417513547,2026-01-01,2026-02-01,17.7,142.0,0,5.0,0.0,1.0,1.0,1.0,0.0,9.0,10.0,0.0,0,0.6421513944223108,High,0.0,,0.0
417516308,2026-01-01,2026-02-01,28.408333333333335,939.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,964.0,0,0.41938247011952196,Low,0.0,16.0,0.0
417648563,2026-01-01,2026-02-01,1.173888888888889,30.0,1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0,0.434402390438247,Insufficient Exposure,0.0,,0.0
422008670,2026-01-01,2026-02-01,20.809166666666666,439.0,0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,642.0,0,0.5503585657370519,High,0.0,4.0,0.0
422017575,2026-01-01,2026-02-01,44.64805555555556,595.0,0,0.0,0.0,0.0,0.0,1.0,0.0,44.0,30.0,82.0,1,0.5654382470119522,High,0.0,41.0,0.0
425968651,2026-01-01,2026-02-01,20.535555555555554,264.0,0,41.0,0.0,0.0,0.0,1.0,0.0,15.0,90.0,278.0,0,0.6867729083665339,High,0.0,46.0,0.0
429536893,2026-01-01,2026-02-01,88.49194444444444,1384.0,0,4.0,6.0,0.0,6.0,3.0,0.0,1.0,210.0,0.0,0,0.6559362549800798,High,0.0,111.0,0.0
429570713,2026-01-01,2026-02-01,24.488333333333333,146.0,0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0,0.3947011952191235,Low,1.0,2.0,2.0
429576946,2026-01-01,2026-02-01,54.584722222222226,726.0,0,7.0,7.0,0.0,7.0,1.0,0.0,0.0,30.0,353.0,1,0.648585657370518,High,0.0,24.0,0.0
434846817,2026-01-01,2026-02-01,76.21222222222222,259.0,0,14.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0,0.5606374501992032,High,0.0,5.0,0.0
434850546,2026-01-01,2026-02-01,51.64111111111111,679.0,0,12.0,4.0,9.0,13.0,0.0,0.0,0.0,11.0,0.0,0,0.6346613545816733,High,0.0,20.0,0.0
434885978,2026-01-01,2026-02-01,21.393055555555556,469.0,0,1.0,0.0,0.0,0.0,1.0,2.0,9.0,12.0,278.0,0,0.61699203187251,High,0.0,15.0,0.0
434887440,2026-01-01,2026-02-01,14.148055555555555,529.0,0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4523306772908367,Low,0.0,,0.0
